Stock_symbol,Date,Open,High,Low,Close,Adj Close,Volume,negative,neutral,positive,article_count,predicted_sentiment,has_news,category
DPZ,2020-01-23,285.489990234375,289.010009765625,284.5,288.0199890136719,286.7591552734375,518600.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-01-31,282.95001220703125,282.95001220703125,276.8599853515625,281.75,280.5166320800781,738300.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-02-04,272.6499938964844,274.5400085449219,271.6499938964844,273.3999938964844,272.2031555175781,1057000.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-02-13,279.3699951171875,287.2099914550781,279.3699951171875,286.0299987792969,284.77789306640625,520700.0,0.32707754522562027,0.01762004103511572,0.6553024351596832,2,positive,True,Consumer_Discretionary
DPZ,2020-03-02,340.2200012207031,348.5199890136719,333.7900085449219,347.5199890136719,345.9986877441406,863600.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-03-19,292.0,337.2200012207031,289.3399963378906,323.1400146484375,322.4815673828125,1423000.0,0.5682890443131328,0.030454955529421568,0.4012560211122036,4,negative,True,Consumer_Discretionary
DPZ,2020-03-26,323.5,342.0,317.82000732421875,338.510009765625,337.8202514648437,870600.0,0.4934612736105919,0.04259458649903536,0.4639441538602114,2,negative,True,Consumer_Discretionary
DPZ,2020-04-02,330.2200012207031,341.57000732421875,321.5,333.45001220703125,332.77056884765625,772300.0,0.053347449749708176,0.055252429097890854,0.8914002180099487,1,positive,True,Consumer_Discretionary
DPZ,2020-04-08,338.8900146484375,344.9700012207031,333.19000244140625,343.8299865722656,343.12939453125,688100.0,0.08804550021886826,0.014499612152576447,0.8974549174308777,1,positive,True,Consumer_Discretionary
DPZ,2020-04-13,344.54998779296875,357.9700012207031,338.7099914550781,355.1400146484375,354.4163513183594,755400.0,0.9465287327766418,0.023412883281707764,0.030058307573199272,1,negative,True,Consumer_Discretionary
DPZ,2020-04-17,362.5799865722656,366.0,355.4200134277344,362.9700012207031,362.23040771484375,715400.0,0.33839645981788635,0.00997002050280571,0.6516335010528564,1,positive,True,Consumer_Discretionary
DPZ,2020-04-28,364.0,365.5199890136719,354.6499938964844,356.010009765625,355.2845764160156,906300.0,0.1475578099489212,0.6418828368186951,0.2105593979358673,1,neutral,True,Consumer_Discretionary
DPZ,2020-05-06,369.5799865722656,379.55999755859375,369.5799865722656,372.2999877929688,371.5413818359375,928500.0,0.3841572391490142,0.02369036649664243,0.5921523893872896,3,positive,True,Consumer_Discretionary
DPZ,2020-05-12,380.6000061035156,382.2099914550781,375.3200073242188,377.9400024414063,377.1698913574219,899100.0,0.18922054767608643,0.11825412884354591,0.6925252974033356,2,positive,True,Consumer_Discretionary
DPZ,2020-05-18,378.739990234375,378.739990234375,361.05999755859375,364.5,363.7572937011719,1017700.0,0.16149135306477547,0.7777334153652191,0.06077521853148937,2,neutral,True,Consumer_Discretionary
DPZ,2020-06-23,387.7900085449219,388.4800109863281,376.7999877929688,377.5499877929688,377.5499877929688,478400.0,0.1382378190755844,0.0136552220210433,0.8481069207191467,1,positive,True,Consumer_Discretionary
DPZ,2020-07-24,379.4800109863281,387.2300109863281,376.5799865722656,386.9100036621094,372.35943603515625,549100.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-07-27,390.6199951171875,394.8900146484375,387.1099853515625,389.6099853515625,374.9579162597656,549600.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-08-17,401.0,409.7999877929688,401.0,409.3900146484375,393.9940490722656,840600.0,0.5030497945845127,0.23632266791537404,0.2606275388970971,4,negative,True,Consumer_Discretionary
DPZ,2020-08-28,414.7699890136719,419.3699951171875,412.010009765625,415.9800109863281,400.3362121582031,321800.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-09-03,403.0,403.30999755859375,389.6400146484375,397.5,382.5511779785156,802500.0,0.09041877090930939,0.04427919117733836,0.8653020262718201,2,positive,True,Consumer_Discretionary
DPZ,2020-09-04,397.6099853515625,401.2000122070313,376.3299865722656,381.80999755859375,367.4512634277344,857900.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-09-11,401.3900146484375,401.9800109863281,392.9400024414063,394.6799926757813,379.8372192382813,720000.0,0.42920419527217746,0.523304421454668,0.04749136604368687,2,neutral,True,Consumer_Discretionary
DPZ,2020-09-16,390.7200012207031,394.010009765625,385.9800109863281,385.9800109863281,372.2000427246094,411400.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-09-17,386.7200012207031,395.4400024414063,385.8299865722656,395.0700073242188,380.9654846191406,524200.0,0.0,1.0,0.0,0,neutral,False,Consumer_Discretionary
DPZ,2020-10-06,426.5499877929688,433.5199890136719,425.3699951171875,427.5299987792969,412.2666015625,646900.0,0.3157521076500416,0.02387269213795662,0.6603752225637436,2,positive,True,Consumer_Discretionary
DPZ,2020-10-07,429.7999877929688,433.4500122070313,425.7699890136719,431.0499877929688,415.6609497070313,952600.0,0.4838278666138649,0.48915445152670145,0.02701767161488533,2,neutral,True,Consumer_Discretionary
