Stock_symbol,Date,Open,High,Low,Close,Adj Close,Volume,negative,neutral,positive,article_count,predicted_sentiment,has_news,category
BA,2020-01-22,312.8399963378906,302.7200012207031,309.0,307.17242431640625,18792600.0,309.0,0.16863961717379944,0.5574101630066123,0.27395019946353777,7,neutral,True,Industrials
BA,2020-01-27,321.260009765625,314.5799865722656,316.6000061035156,314.7274780273437,7468100.0,316.0,0.5761936008930206,0.02036662818863988,0.40343982353806496,2,negative,True,Industrials
BA,2020-02-11,348.07000732421875,342.1000061035156,344.4200134277344,342.3829345703125,5311500.0,347.0,0.5837409918506941,0.2853008930881818,0.13095813679198423,3,negative,True,Industrials
BA,2020-02-18,339.989990234375,336.1000061035156,338.8800048828125,338.8800048828125,2904600.0,338.0,0.018447505310177803,0.9611270427703857,0.020425524562597275,1,neutral,True,Industrials
BA,2020-03-30,153.80999755859375,140.67999267578125,152.27999877929688,152.27999877929688,51052500.0,153.0,0.05746086314320564,0.5816162750124931,0.3609228531519572,6,neutral,True,Industrials
BA,2020-03-31,160.63999938964844,149.0,149.13999938964844,149.13999938964844,29954000.0,155.0,0.07139522198121995,0.4522645694669336,0.47634023427963257,8,positive,True,Industrials
BA,2020-04-07,164.8000030517578,140.25999450683594,141.5800018310547,141.5800018310547,56699100.0,162.0,0.13994622137397528,0.6678134162317623,0.19224036281759088,11,neutral,True,Industrials
BA,2020-04-27,131.19999694824222,123.83000183105467,128.67999267578122,128.67999267578122,34563000.0,129.0,0.27347607587996337,0.5855450032145849,0.14097893191501498,28,neutral,True,Industrials
BA,2020-04-29,147.17999267578125,135.25,139.0,139.0,60454400.0,138.0,0.32879310224338304,0.5579042015597224,0.1133027085701802,28,neutral,True,Industrials
BA,2020-05-11,131.0,127.9499969482422,128.91000366210938,128.91000366210938,20055400.0,130.0,0.3038142178621557,0.5371658423294624,0.1590199288394716,9,neutral,True,Industrials
BA,2020-06-22,188.6999969482422,181.8999938964844,188.5200042724609,188.5200042724609,53901500.0,184.0,0.02148835128173232,0.9566724598407745,0.021839244291186333,2,neutral,True,Industrials
BA,2020-07-21,182.6499938964844,176.75,178.6300048828125,178.6300048828125,40740500.0,178.0,0.08519021735992283,0.6527371946722269,0.2620725736487657,8,neutral,True,Industrials
BA,2020-08-12,184.1499938964844,173.19000244140625,175.44000244140625,175.44000244140625,40674400.0,184.0,0.1818337608128786,0.7827855721116066,0.03538065496832132,4,neutral,True,Industrials
BA,2020-08-31,175.27000427246094,171.6999969482422,171.82000732421875,171.82000732421875,16264300.0,174.0,0.42902953643351793,0.5367014110088348,0.03426902461796999,2,neutral,True,Industrials
BA,2020-09-02,175.0,171.4499969482422,174.77999877929688,174.77999877929688,16552100.0,172.0,0.37309351066748303,0.33239317033439875,0.2945133447647095,3,negative,True,Industrials
BA,2020-09-09,163.05999755859375,157.0,160.77999877929688,160.77999877929688,21951400.0,161.0,0.04152532224543393,0.9067082007726034,0.05176648497581482,6,neutral,True,Industrials
BA,2020-09-17,168.4600067138672,161.0500030517578,167.52999877929688,167.52999877929688,19717800.0,164.0,0.05154571723606852,0.77086392386506,0.17759034348030886,9,neutral,True,Industrials
BA,2020-10-06,175.55999755859375,159.3300018310547,159.5399932861328,159.5399932861328,47132500.0,173.0,0.19776766217098787,0.6315284537581297,0.17070388399924225,13,neutral,True,Industrials
BA,2020-10-19,170.83999633789062,166.11000061035156,167.11000061035156,167.11000061035156,16519600.0,169.0,0.2146921850120028,0.6305061501140395,0.15480166797836623,6,neutral,True,Industrials
BA,2020-11-12,184.58999633789065,176.25,176.72000122070312,176.72000122070312,20288400.0,178.0,0.04962259690676417,0.931731607232775,0.018645773375672952,7,neutral,True,Industrials
BA,2020-11-27,219.92999267578125,216.0399932861328,216.5,216.5,9970200.0,218.0,0.4199561656763156,0.20450034954895577,0.3755434916044275,6,negative,True,Industrials
